"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"24 Hour Party People",0,"Movie","Biography, Comedy, Drama",117,"Steve Coogan, John Thomson, Paul Popplewell",7083,7.3,"Revolution Films",2002,89439,"UK","English",2,"Drama"
"8½",1,"Movie","Drama",138,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée",4849,8,"Cineriz",1963,9362,"IT","Italian",3,"Drama"
"A Field in England",0,"Movie","Drama, History, Horror",90,"Julian Barratt, Peter Ferdinando, Richard Glover",13015,6.3,"Film4",2013,93964,"UK","English",3,"Horror/Thriller"
"A Fistful of Dollars",0,"Movie","Action, Drama, Western",99,"Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy",2853,8,"Jolly Film",1964,150472,"IT","English",4,"Action"
"A Room for Romeo Brass",0,"Movie","Comedy, Drama",90,"Martin Arrowsmith, Dave Blant, Darren Campbell",14911,7.6,"Alliance Atlantis Communications",1999,228994,"UK","English",2,"Drama"
"A Tale of Winter",0,"Movie","Drama",114,"Charlotte Véry, Frédéric van den Driessche, Michel Voletti",22367,7.3,"Compagnie Eric Rohmer (CER)",1992,24216,"FR","French",3,"Romance"
"After Hours",1,"Movie","Comedy, Crime, Drama",97,"Rosanna Arquette, Verna Bloom, Tommy Chong",3324,7.7,"The Geffen Company",1985,24071,"US","English",2,"Drama"
"Akira",0,"Movie","Animation, Action, Sci-Fi",124,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",3368,8,"Akira Committee Company Ltd.",1988,476,"JA","English",2,"Action"
"Amateur",0,"Movie","Comedy, Crime, Drama",105,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",26161,6.9,"American Playhouse",1994,7831,"US","English",1,"Drama"
"American Cousins",0,"Movie","Crime, Drama",115,"Danny Nucci, Shirley Henderson, Gerald Lepkowski",161872,6.2,"Bard Entertainments",2003,128288,"UK","English",2,"Light"
"American Gigolo",1,"Movie","Crime, Drama, Mystery",117,"Richard Gere, Lauren Hutton, Hector Elizondo",7694,6.3,"Paramount Pictures",1980,2147,"US","English",4,"Horror/Thriller"
"An American in Paris",0,"Movie","Drama, Musical, Romance",114,"Leslie Caron, Oscar Levant, Georges Guétary",9682,7.2,"Metro-Goldwyn-Mayer (MGM)",1951,12386,"US","English",3,"Light  Romance"
"Angel Face",1,"Movie","Crime, Drama, Film-Noir",91,"Robert Mitchum, Jean Simmons, Mona Freeman",28272,7.3,"RKO Radio Pictures",1953,5201,"US","English",2,"Horror/Thriller"
"Angel Heart",1,"Movie","Horror, Mystery, Thriller",113,"Mickey Rourke, Robert De Niro, Lisa Bonet",4217,7.3,"Carolco International N.V.",1987,167229,"US","English",3,"Horror/Thriller"
"Annie Hall",1,"Movie","Comedy, Romance",93,"Diane Keaton, Tony Roberts, Carol Kane",3738,8,"Jack Rollins & Charles H. Joffe Productions",1977,12527,"US","English",4,"Romance"
"Apocalypse Now",1,"Movie","Drama, Mystery, War",147,"Marlon Brando, Martin Sheen, Robert Duvall",506,8.4,"American Zoetrope",1979,47798,"US","English",4,"Horror/Thriller"
"Arrival",0,"Movie","Drama, Sci-Fi",116,"Amy Adams, Jeremy Renner, Forest Whitaker",608,7.9,"Lava Bear Films",2016,368928,"US","English",3,"Drama"
"Attack the Block",0,"Movie","Action, Adventure, Comedy",88,"Jodie Whittaker, John Boyega, Alex Esmail",6179,6.6,"Screen Gems",2011,449139,"UK","English",4,"Action"
"Autumn Tale",0,"Movie","Comedy, Drama, Romance",112,"Marie Rivière, Béatrice Romand, Alain Libolt",27591,7.5,"Les Films du Losange",1998,5482,"FR","French",3,"Romance"
"Awaydays",0,"Movie","Crime, Drama",105,"Nicky Bell, Liam Boyle, Stephen Graham",34966,5.8,"Red Union Films",2009,10068,"UK","English",2,"Drama"
"Baby Driver",0,"Movie","Action, Crime, Drama",113,"Ansel Elgort, Jon Bernthal, Jon Hamm",612,7.6,"TriStar Pictures",2017,9378,"US","English",3,"Action"
"Bad Lieutenant",1,"Movie","Crime, Drama, Thriller",96,"Harvey Keitel, Brian McElroy, Frank Acciarito",5995,7.1,"Bad Lt. Productions",1992,13251,"US","English",2,"Horror/Thriller"
"Bait",0,"Movie","Drama",89,"Edward Rowe, Giles King, Chloe Endean",19544,7.1,"Early Day Films",2019,176561,"UK","English",3,"Drama"
"Barefoot in the Park",1,"Movie","Comedy, Romance",106,"Robert Redford, Jane Fonda, Charles Boyer",12102,7,"Wallis-Hazen",1967,171477,"US","English",1,"Romance"
"Barton Fink",1,"Movie","Comedy, Drama, Thriller",116,"John Turturro, John Goodman, Judy Davis",5381,7.7,"Circle Films",1991,7804,"US","English",2,"Drama"
"Batman Begins",1,"Movie","Action, Adventure",140,"Christian Bale, Michael Caine, Liam Neeson",491,8.2,"Warner Bros.",2005,5717,"US","English",3,"Action"
"Before Sunrise",1,"Movie","Drama, Romance",101,"Ethan Hawke, Julie Delpy, Andrea Eckert",2016,8.1,"Castle Rock Entertainment",1995,613648,"US","English",3,"Romance"
"Before Sunset",0,"Movie","Drama, Romance",80,"Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly",3698,8.1,"Warner Independent Pictures (WIP)",2004,41461,"US","English",3,"Romance"
"Belle de Jour",1,"Movie","Drama, Romance",100,"Catherine Deneuve, Jean Sorel, Michel Piccoli",7097,7.7,"Robert et Raymond Hakim",1967,52381,"FR","French",2,"Romance"
"Betty Blue",0,"Movie","Drama, Romance",185,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon",6358,7.4,"Gaumont",1986,135452,"FR","French",3,"Romance"
"Beyond the Valley of the Dolls",0,"Movie","Comedy, Drama, Music",109,"Dolly Read, Cynthia Myers, Marcia McBroom",8935,6.3,"Twentieth Century Fox",1970,548913,"US","English",3,"Light"
"Bicycle Thieves",0,"Movie","Drama",89,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",6899,8.3,"Produzioni De Sica (PDS)",1948,9707,"IT","Italian",4,"Drama"
"Big Trouble in Little China",1,"Movie","Action, Adventure, Comedy",99,"Kurt Russell, Kim Cattrall, Dennis Dun",1808,7.3,"Twentieth Century Fox",1986,56916,"US","English",4,"Action"
"Blow-Up",0,"Movie","Drama, Mystery, Thriller",111,"Vanessa Redgrave, Sarah Miles, David Hemmings",6666,7.6,"Premier Productions",1966,115467,"US","English",1,"Drama"
"Blow Out",1,"Movie","Crime, Drama, Mystery",108,"John Travolta, Nancy Allen, John Lithgow",6881,7.4,"Filmways Pictures",1981,246660,"US","English",4,"Horror/Thriller"
"Blue Collar",1,"Movie","Crime, Drama",114,"Richard Pryor, Harvey Keitel, Yaphet Kotto",18026,7.5,"TAT Communications Company",1978,25235,"US","English",3,"Drama"
"Blue Velvet",1,"Movie","Drama, Mystery, Thriller",120,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper",2236,7.7,"De Laurentiis Entertainment Group (DEG)",1986,4313,"US","English",4,"Horror/Thriller"
"Body Double",1,"Movie","Crime, Drama, Mystery",114,"Craig Wasson, Melanie Griffith, Gregg Henry",5221,6.8,"Columbia Pictures",1984,59589,"US","English",2,"Horror/Thriller"
"Bottle Rocket",0,"Movie","Comedy, Crime, Drama",91,"Luke Wilson, Ned Dowd, Shea Fowler",4221,7,"Columbia Pictures",1996,937,"US","English",2,"Drama"
"Boyfriends and Girlfriends",0,"Movie","Comedy, Drama, Romance",103,"Emmanuelle Chaulet, Sophie Renoir, Anne-Laure Meury",25815,7.6,"Les Films du Losange",1987,39483,"FR","French",4,"Romance"
"Breakfast at Tiffany's",1,"Movie","Comedy, Drama, Romance",115,"Audrey Hepburn, George Peppard, Patricia Neal",1456,7.6,"Jurow-Shepherd",1961,142891,"US","English",3,"Romance"
"Bring Me the Head of Alfredo Garcia",0,"Movie","Action, Crime, Drama",112,"Warren Oates, Isela Vega, Robert Webber",13656,7.5,"Optimus Films",1974,10398,"US","English",3,"Action"
"Broken Embraces",0,"Movie","Drama, Romance, Thriller",127,"Penélope Cruz, Lluís Homar, Blanca Portillo",14149,7.2,"Universal Pictures International (UPI)",2009,18224,"SP","Spanish",3,"Romance"
"Brother",0,"Movie","Crime, Drama, Thriller",114,"Omar Epps, Claude Maki, Masaya Katô",18121,7.1,"Recorded Picture Company (RPC)",2000,28117,"JA","Japanese",1,"Drama"
"Buffalo '66",1,"Movie","Comedy, Drama, Romance",110,"Christina Ricci, Ben Gazzara, Mickey Rourke",5551,7.5,"Cinépix Film Properties (CFP)",1998,635,"US","English",1,"Romance"
"Cape Fear",1,"Movie","Drama, Thriller",106,"Gregory Peck, Robert Mitchum, Polly Bergen",9515,7.7,"Melville Productions",1962,587983,"US","English",3,"Drama"
"Cape Fear",1,"Movie","Crime, Thriller",128,"Nick Nolte, Jessica Lange, Juliette Lewis",1727,7.3,"Amblin Entertainment",1991,2497,"US","English",2,"Horror/Thriller"
"Carefree",1,"Movie","Comedy, Musical, Romance",83,"Fred Astaire, Ginger Rogers, Ralph Bellamy",4588,7,"RKO Radio Pictures",1938,30,"US","English",3,"Light  Romance"
"Carrie",0,"Movie","Horror",98,"Sissy Spacek, Piper Laurie, Amy Irving",2275,7.4,"Red Bank Films",1976,4075,"US","English",1,"Horror/Thriller"
"Casablanca",1,"Movie","Drama, Romance, War",102,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",1492,8.5,"Warner Bros.",1942,27539,"US","English",4,"Romance"
"Casino",1,"Movie","Crime, Drama",178,"Robert De Niro, Sharon Stone, Joe Pesci",1329,8.2,"Universal Pictures",1995,127891,"US","English",3,"Drama"
"Cat People",1,"Movie","Fantasy, Horror, Thriller",118,"Nastassja Kinski, Malcolm McDowell, John Heard",6038,6.2,"RKO Pictures",1982,140787,"US","English",3,"Horror/Thriller"
"Cat People",1,"Movie","Fantasy, Horror, Thriller",73,"Simone Simon, Kent Smith, Tom Conway",12986,7.3,"RKO Radio Pictures",1942,443595,"US","English",1,"Horror/Thriller"
"Catch Me If You Can",1,"Movie","Biography, Crime, Drama",141,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",960,8.1,"Dreamworks Pictures",2002,15273,"US","English",3,"Drama"
"Charade",1,"Movie","Comedy, Mystery, Romance",113,"Cary Grant, Audrey Hepburn, Walter Matthau",3166,7.9,"Stanley Donen Films",1963,71235,"US","English",3,"Romance"
"Chico & Rita",0,"Movie","Animation, Crime, Drama",94,"Limara Meneses, Eman Xor Oña, Mario Guerra",38095,7.2,"Isle of Man Film",2010,243398,"WO","Spanish",3,"Romance"
"Chinatown",1,"Movie","Drama, Mystery, Thriller",130,"Jack Nicholson, Faye Dunaway, John Huston",1813,8.1,"Paramount Pictures",1974,144536,"US","English",4,"Horror/Thriller"
"Chloe in the Afternoon",0,"Movie","Comedy, Drama, Romance",97,"Bernard Verley, Zouzou, Françoise Verley",15021,7.7,"Les Films du Losange",1972,54521,"FR","French",3,"Romance"
"Chungking Express",0,"Movie","Comedy, Crime, Drama",102,"Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong",1926,8.1,"Jet Tone Production",1994,72931,"HK","Cantonese",3,"Romance"
"Citizen Kane",0,"Movie","Drama, Mystery",119,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead",842,8.3,"RKO Radio Pictures",1941,63513,"US","English",2,"Drama"
"Claire's Knee",0,"Movie","Drama, Romance",105,"Jean-Claude Brialy, Aurora Cornu, Béatrice Romand",11166,7.6,"Les Films du Losange",1970,26388,"FR","French",1,"Romance"
"Climax",0,"Movie","Drama, Horror, Music",97,"Sofia Boutella, Romain Guillermic, Souheila Yacoub",1809,7,"Rectangle Productions",2018,49225,"FR","French",1,"Horror/Thriller"
"ColOZio",0,"Movie","Drama",91,"Orlando Moguel, Diego Calva, Hector Kotsifakis",181633,4.2,"Bias Post",2020,50565,"WO","Spanish",1,"Light"
"Comfort and Joy",0,"Movie","Comedy",106,"Bill Paterson, Eleanor David, Clare Grogan",45030,6.7,"Lake (Comfort and Joy)",1984,95661,"UK","English",3,"Light"
"Computer Chess",0,"Movie","Comedy",92,"Kriss Schludermann, Tom Fletcher, Patrick Riester",43006,6.3,"Computer Chess",2013,81400,"US","English",1,"Light"
"Contempt",1,"Movie","Drama, Romance",103,"Brigitte Bardot, Michel Piccoli, Jack Palance",7227,7.6,"Rome Paris Films",1963,6145,"FR","French",1,"Romance"
"Coogan's Bluff",0,"Movie","Action, Comedy, Crime",93,"Lee J. Cobb, Susan Clark, Tisha Sterling",16263,6.5,"Universal Pictures",1968,276613,"US","English",3,"Action"
"County Lines",0,"Movie","Drama",90,"Harris Dickinson, Ashley Madekwe, Conrad Khan",11562,7.5,"Two Birds Entertainment",2019,640380,"UK","English",1,"Drama"
"Dallas Buyers Club",1,"Movie","Biography, Drama",117,"Matthew McConaughey, Jennifer Garner, Jared Leto",1343,8,"Truth Entertainment (II)",2013,325470,"US","English",2,"Drama"
"Danger: Diabolik",0,"Movie","Action, Comedy, Crime",105,"John Phillip Law, Marisa Mell, Michel Piccoli",15126,6.5,"Dino de Laurentiis Cinematografica",1968,109288,"IT","English",2,"Action"
"Dazed and Confused",1,"Movie","Comedy",102,"Jason London, Joey Lauren Adams, Milla Jovovich",187,7.6,"Gramercy Pictures (I)",1993,132679,"US","English",4,"Light"
"Dead Man's Shoes",0,"Movie","Crime, Drama, Thriller",90,"Gary Stretch, Toby Kebbell, Stuart Wolfenden",7793,7.6,"Warp Films",2004,19612,"UK","English",4,"Horror/Thriller"
"Dead Ringers",1,"Movie","Drama, Horror, Thriller",116,"Jeremy Irons, Geneviève Bujold, Heidi von Palleske",6271,7.3,"Morgan Creek Entertainment",1988,12773,"US","English",1,"Horror/Thriller"
"Deep Red",0,"Movie","Horror, Mystery, Thriller",127,"David Hemmings, Daria Nicolodi, Gabriele Lavia",8854,7.6,"Rizzoli Film",1975,17909,"IT","English",3,"Horror/Thriller"
"Dial M for Murder",1,"Movie","Crime, Thriller",105,"Ray Milland, Grace Kelly, Robert Cummings",6082,8.2,"Warner Bros.",1954,110111,"US","English",3,"Drama"
"Dirty Grandpa",1,"Movie","Comedy",102,"Robert De Niro, Zac Efron, Zoey Deutch",4127,5.9,"Lionsgate",2016,26973,"US","English",1,"Light"
"Dirty Harry",0,"Movie","Action, Crime, Thriller",102,"Harry Guardino, Reni Santoni, John Vernon",3643,7.7,"The Malpaso Company",1971,48498,"US","English",3,"Action"
"Divorce Italian Style",1,"Movie","Comedy, Drama, Romance",105,"Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli",19849,8.1,"Lux Film",1961,114248,"IT","Italian",3,"Romance"
"Django",0,"Movie","Action, Western",91,"Franco Nero, José Bódalo, Loredana Nusciak",9908,7.2,"B.R.C. Produzione S.r.l.",1966,126940,"IT","English",3,"Action"
"Double Indemnity",1,"Movie","Crime, Drama, Film-Noir",107,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",5923,8.3,"Paramount Pictures",1944,16494,"US","English",3,"Horror/Thriller"
"Dressed to Kill",1,"Movie","Crime, Drama, Mystery",104,"Michael Caine, Angie Dickinson, Nancy Allen",5770,7.1,"Filmways Pictures",1980,735618,"US","English",3,"Horror/Thriller"
"Duck You Sucker",1,"Movie","Drama, War, Western",157,"Rod Steiger, James Coburn, Romolo Valli",7873,7.6,"Rafran Cinematografica",1971,70611,"IT","English",2,"Action"
"Dunkirk",0,"Movie","Action, Drama, History",106,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard",684,7.8,"Syncopy",2017,9054,"UK","English",4,"Action"
"England Is Mine",0,"Movie","Biography, Drama, Music",94,"Jodie Comer, Jessica Brown Findlay, Jack Lowden",26826,5.8,"Honlodge Productions",2017,29500,"UK","English",1,"Light"
"Enter the Void",0,"Movie","Drama, Fantasy",161,"Paz de la Huerta, Nathaniel Brown, Cyril Roy",2825,7.3,"Fidélité Films",2009,526118,"FR","French",1,"Drama"
"Escape from New York",1,"Movie","Action, Adventure, Sci-Fi",99,"Kurt Russell, Lee Van Cleef, Ernest Borgnine",2653,7.2,"AVCO Embassy Pictures",1981,318647,"US","English",3,"Action"
"Everybody Wants Some!!",0,"Movie","Comedy",117,"Blake Jenner, Juston Street, Ryan Guzman",2930,6.9,"Annapurna Pictures",2016,54209,"UK","English",3,"Light"
"Face",0,"Movie","Crime, Drama, Thriller",105,"Robert Carlyle, Ray Winstone, Steve Sweeney",33773,6.7,"BBC Films",1997,275,"UK","English",1,"Drama"
"Face to Face",0,"Movie","Western",111,"Gian Maria Volontè, Tomas Milian, William Berger",32947,7.2,"Produzioni Europee Associate (PEA)",1967,8164,"IT","English",2,"Action"
"Fahrenheit 451",0,"Movie","Drama, Sci-Fi",112,"Julie Christie, Oskar Werner, Cyril Cusack",8961,7.2,"Anglo Enterprises",1966,9751,"UK","English",2,"Light"
"Fallen Angels",0,"Movie","Comedy, Crime, Drama",99,"Leon Lai, Michelle Reis, Takeshi Kaneshiro",4527,7.7,"Block 2 Pictures",1995,5837,"HK","Cantonese",2,"Light"
"Farewell, My Lovely",1,"Movie","Crime, Mystery, Thriller",95,"Robert Mitchum, Charlotte Rampling, John Ireland",15898,7.1,"EK",1975,4302,"US","English",2,"Drama"
"Female Prisoner #701: Scorpion",0,"Movie","Crime, Drama, Thriller",87,"Meiko Kaji, Rie Yokoyama, Yayoi Watanabe",21898,7.3,"Toei Company",1972,2113,"JA","Japanese",3,"Action"
"Filth",0,"Movie","Comedy, Crime, Drama",97,"Jamie Bell, Eddie Marsan, Imogen Poots",4810,7.1,"Steel Mill Pictures",2013,11060,"UK","English",1,"Drama"
"Fireworks",0,"Movie","Crime, Drama, Romance",103,"Kayoko Kishimoto, Ren Osugi, Susumu Terajima",12327,7.8,"Bandai Visual Company",1997,46231,"JA","Japanese",1,"Romance"
"First Love",0,"Movie","Action, Comedy, Crime",108,"Becky, Bengal, Masayuki Deai",13047,6.8,"Akatsuki",2019,49423,"JA","Japanese",4,"Action"
"Fish Tank",0,"Movie","Drama",123,"Katie Jarvis, Michael Fassbender, Rebecca Griffiths",2636,7.3,"BBC Films",2009,4423,"UK","English",3,"Drama"
"For a Few Dollars More",1,"Movie","Western",132,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",3081,8.2,"Produzioni Europee Associate (PEA)",1965,3920,"IT","English",4,"Action"
"Four Adventures of Reinette and Mirabelle",0,"Movie","Comedy, Drama, Romance",99,"Jessica Forde, Mr. Housseau, Mme. Housseau",25851,7.7,"Compagnie Eric Rohmer (CER)",1987,154676,"FR","French",3,"Romance"
"Four Flies on Grey Velvet",0,"Movie","Crime, Mystery, Thriller",104,"Michael Brandon, Mimsy Farmer, Jean-Pierre Marielle",18336,6.7,"Seda Spettacoli",1971,183463,"IT","English",1,"Horror/Thriller"
"Foxcatcher",0,"Movie","Biography, Drama, History",134,"Steve Carell, Channing Tatum, Mark Ruffalo",3523,7,"Annapurna Pictures",2014,1644312,"US","English",2,"Drama"
"Full Moon in Paris",0,"Movie","Comedy, Drama, Romance",101,"Tchéky Karyo, Fabrice Luchini, Virginie Thévenet",24453,7.4,"Les Films du Losange",1984,2338107,"FR","French",2,"Romance"
"Funny Face",1,"Movie","Comedy, Musical, Romance",103,"Audrey Hepburn, Michel Auclair, Robert Flemyng",6327,7,"Paramount Pictures",1957,1849926,"US","English",2,"Light"
"Funny Games",0,"Movie","Crime, Drama, Thriller",108,"Susanne Lothar, Ulrich Mühe, Arno Frisch",3877,7.6,"Filmfonds Wien",1997,1662036,"GE","English",1,"Horror/Thriller"
"Gangster No. 1",0,"Movie","Crime, Drama, Thriller",103,"Malcolm McDowell, David Thewlis, Paul Bettany",16108,6.8,"FilmFour",2000,696276,"UK","English",2,"Drama"
"Gentlemen Prefer Blondes",1,"Movie","Comedy, Musical, Romance",91,"Jane Russell, Marilyn Monroe, Charles Coburn",9626,7.2,"Twentieth Century Fox",1953,1681967,"US","English",4,"Light  Romance"
"Ghost in the Shell",0,"Movie","Animation, Action, Crime",83,"Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera",3476,8,"Kôdansha",1995,2097030,"JA","Japanese",2,"Action"
"Girlhood",0,"Movie","Drama",113,"Karidja Touré, Assa Sylla, Lindsay Karamoh",19389,6.9,"Hold Up Films",2014,928119,"FR","French",1,"Drama"
"Goodfellas",1,"Movie","Biography, Crime, Drama",146,"Robert De Niro, Ray Liotta, Joe Pesci",467,8.7,"Warner Bros.",1990,1035237,"US","English",4,"Drama"
"Green Street Hooligans",0,"Movie","Crime, Drama, Sport",109,"Elijah Wood, Charlie Hunnam, Claire Forlani",4355,7.5,"Baker Street",2005,1502958,"UK","English",3,"Light"
"Gregory's Girl",0,"Movie","Comedy, Drama, Romance",91,"John Gordon Sinclair, Dee Hepburn, Jake D'Arcy",3655,7.1,"Lake Films",1980,410295,"UK","English",4,"Romance"
"Gummo",0,"Movie","Comedy, Drama",89,"Jacob Sewell, Nick Sutton, Lara Tosh",2788,6.7,"Fine Line Features",1997,1541404,"US","English",1,"Drama"
"Gun Crazy",0,"Movie","Crime, Drama, Film-Noir",87,"Peggy Cummins, John Dall, Berry Kroeger",20152,7.6,"King Brothers Productions",1950,1048984,"US","English",3,"Horror/Thriller"
"Hardcore",0,"Movie","Crime, Drama",108,"George C. Scott, Peter Boyle, Season Hubley",9314,7.1,"A-Team",1979,527731,"US","English",2,"Drama"
"He Died with a Felafel in His Hand",0,"Movie","Comedy, Romance",107,"Emily Hamilton, Sophie Lee, Alex Menglet",48682,7.1,"Notorious Films Pty. Ltd.",2001,611643,"AU","English",2,"Romance"
"Her",0,"Movie","Drama, Romance, Sci-Fi",126,"Joaquin Phoenix, Lynn Adrianna Freedman, Lisa Renee Pitts",951,8,"Annapurna Pictures",2013,306102,"US","English",2,"Romance"
