"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Snowpiercer",1,"Movie","Action, Drama, Sci-Fi",126,"Chris Evans, Kang-ho Song, Ed Harris",391,7.1,"SnowPiercer",2013,11284,"US","English",3,"Action"
"Society",0,"Movie","Comedy, Horror",99,"Billy Warlock, Concetta D'Agnese, Ben Slack",5713,6.6,"Wild Street Pictures",1989,184,"US","English",3,"Horror/Thriller"
"Some Like It Hot",1,"Movie","Comedy, Music, Romance",121,"Marilyn Monroe, Tony Curtis, Jack Lemmon",1863,8.2,"Ashton Productions",1959,14674,"US","English",4,"Light  Romance"
"Sonatine",0,"Movie","Action, Comedy, Crime",94,"Aya Kokumai, Tetsu Watanabe, Masanobu Katsumura",13980,7.5,"Bandai Visual Company",1993,29027,"JA","Japanese",2,"Action"
"Sorry We Missed You",0,"Movie","Drama",101,"Kris Hitchen, Debbie Honeywood, Rhys Stone",7868,7.6,"Sixteen Films",2019,7021,"UK","English",2,"Drama"
"Strangers on a Train",0,"Movie","Crime, Film-Noir, Thriller",101,"Farley Granger, Ruth Roman, Robert Walker",6454,7.9,"Warner Bros.",1951,32217,"US","English",2,"Horror/Thriller"
"Stray Cat Rock: Delinquent Girl Boss",0,"Movie","Action, Crime, Drama",80,"Akiko Wada, Meiko Kaji, Kôji Wada",39394,6.2,"Hori Production",1970,7765,"JA","Japanese",3,"Action"
"Submarine",0,"Movie","Comedy, Drama, Romance",97,"Noah Taylor, Paddy Considine, Craig Roberts",6439,7.3,"The Weinstein Company",2010,34465,"UK","English",4,"Romance"
"Subway",1,"Movie","Thriller",104,"Isabelle Adjani, Christopher Lambert, Richard Bohringer",11680,6.6,"Les Films du Loup",1985,30549,"FR","French",2,"Light"
"Sudden Impact",0,"Movie","Action, Crime, Thriller",117,"Sondra Locke, Pat Hingle, Bradford Dillman",6366,6.7,"Warner Bros.",1983,15877,"US","English",3,"Action"
"Summer",0,"Movie","Drama, Romance",99,"Amira Chemakhi, Sylvie Richez, Basile Gervaise",20325,7.7,"Ministère de la Culture et de la Communication",1986,16101,"FR","French",4,"Romance"
"Sunset Blvd.",1,"Movie","Drama, Film-Noir",110,"William Holden, Gloria Swanson, Erich von Stroheim",2859,8.4,"Paramount Pictures",1950,990,"US","English",2,"Horror/Thriller"
"Superbad",0,"Movie","Comedy",113,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse",816,7.6,"Columbia Pictures",2007,32109,"US","English",3,"Light"
"Suspiria",0,"Movie","Horror",99,"Jessica Harper, Stefania Casini, Flavio Bucci",4144,7.4,"Seda Spettacoli",1977,8709,"IT","English",3,"Horror/Thriller"
"Sweet Sixteen",0,"Movie","Crime, Drama",106,"Martin Compston, William Ruane, Annmarie Fulton",10557,7.4,"Alta Films",2002,3258,"UK","English",3,"Drama"
"Sweet Smell of Success",0,"Movie","Drama, Film-Noir",96,"Susan Harrison, Martin Milner, Jeff Donnell",13513,8,"Norma Productions",1957,8032,"US","English",3,"Horror/Thriller"
"Sympathy for Mr. Vengeance",0,"Movie","Crime, Drama, Thriller",129,"Kang-ho Song, Shin Ha-kyun, Bae Doona",8234,7.6,"CJ Entertainment",2002,6904,"SK","Korean",2,"Horror/Thriller"
"T2 Trainspotting",1,"Movie","Drama",117,"Ewan McGregor, Logan Gillies, Ben Skelton",3966,7.2,"Artbees",2017,81775,"UK","English",3,"Drama"
"Talk Radio",0,"Movie","Drama",110,"Ellen Greene, Leslie Hope, John C. McGinley",19002,7.3,"Cineplex Odeon Films",1988,42027,"US","English",1,"Drama"
"Talk to Her",0,"Movie","Drama, Mystery, Romance",112,"Javier Cámara, Darío Grandinetti, Leonor Watling",7650,7.9,"El Deseo",2002,18541,"SP","Spanish",3,"Romance"
"Targets",1,"Movie","Crime, Drama, Thriller",90,"Tim O'Kelly, Boris Karloff, Arthur Peterson",19669,7.3,"Saticoy Productions",1968,6676,"US","English",3,"Horror/Thriller"
"Taxi Driver",0,"Movie","Crime, Drama",114,"Diahnne Abbott, Frank Adu, Victor Argo",689,8.2,"Columbia Pictures",1976,102782,"US","English",4,"Drama"
"Tenet",0,"Movie","Action, Sci-Fi, Thriller",150,"Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi",83,7.5,"Warner Bros.",2020,61053,"US","English",3,"Action"
"Tepepa",1,"Movie","Action, Adventure, Drama",133,"Tomas Milian, Orson Welles, John Steiner",64074,6.7,"Filmamerica",1969,13013,"IT","Italian",2,"Action"
"That Sinking Feeling",0,"Movie","Comedy, Crime",93,"Tom Mannion, Eddie Burt, Alex Mackenzie",27977,6.8,"Glasgow Youth Theatre",1979,12708,"UK","English",2,"Light"
"The Addiction",0,"Movie","Drama, Horror",82,"Lili Taylor, Christopher Walken, Annabella Sciorra",21782,6.5,"Fast Films",1995,86268,"US","English",2,"Horror/Thriller"
"The Apartment",1,"Movie","Comedy, Drama, Romance",125,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",4611,8.3,"The Mirisch Corporation",1960,7400,"US","English",2,"Romance"
"The Aviator",1,"Movie","Biography, Drama",170,"Cate Blanchett, Kate Beckinsale, John C. Reilly",1754,7.5,"Forward Pass",2004,33663,"US","English",2,"Drama"
"The Aviator's Wife",0,"Movie","Comedy, Drama, Romance",106,"Philippe Marlaud, Marie Rivière, Anne-Laure Meury",24617,7.6,"Les Films du Losange",1981,21990,"FR","French",3,"Romance"
"The Beach",1,"Movie","Adventure, Drama, Romance",119,"Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon",2556,6.7,"Figment Films",2000,30876,"US","English",2,"Romance"
"The Beguiled",0,"Movie","Drama, Thriller, War",105,"Geraldine Page, Elizabeth Hartman, Jo Ann Harris",8582,7.2,"The Malpaso Company",1971,4628,"US","English",3,"Horror/Thriller"
"The Big Lebowski",1,"Movie","Comedy, Crime, Sport",117,"Jeff Bridges, John Goodman, Julianne Moore",694,8.1,"Polygram Filmed Entertainment",1998,3316,"US","English",4,"Light"
"The Big Sleep",1,"Movie","Crime, Film-Noir, Mystery",114,"Humphrey Bogart, Lauren Bacall, John Ridgely",8863,7.9,"Warner Bros.",1946,17365,"US","English",4,"Horror/Thriller"
"The Bird with the Crystal Plumage",0,"Movie","Horror, Mystery, Thriller",96,"Tony Musante, Suzy Kendall, Enrico Maria Salerno",9166,7.2,"Seda Spettacoli",1970,40837,"IT","English",3,"Horror/Thriller"
"The Brood",0,"Movie","Horror, Sci-Fi",92,"Oliver Reed, Samantha Eggar, Art Hindle",7930,6.9,"Canadian Film Development Corporation (CFDC)",1979,18290,"CA","English",3,"Horror/Thriller"
"The Collector",0,"Movie","Comedy, Drama, Romance",89,"Alain Jouffroy, Mijanou Bardot, Annik Morice",15240,7.5,"Les Films du Losange",1967,10133,"FR","French",2,"Romance"
"The Conformist",0,"Movie","Drama",113,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin",9460,8,"Mars Film",1970,45477,"IT","Italian",4,"Drama"
"The Conversation",1,"Movie","Drama, Mystery, Thriller",113,"Gene Hackman, John Cazale, Allen Garfield",2683,7.8,"The Directors Company",1974,57307,"US","English",4,"Horror/Thriller"
"The Dark Knight",1,"Movie","Action, Crime, Drama",152,"Christian Bale, Aaron Eckhart, Michael Caine",167,9,"Warner Bros.",2008,7476,"US","English",3,"Action"
"The Dark Knight Rises",1,"Movie","Action, Adventure",164,"Christian Bale, Gary Oldman, Tom Hardy",426,8.4,"Warner Bros.",2012,4111,"US","English",3,"Action"
"The Death Wheelers",0,"Movie","Adventure, Horror",85,"Nicky Henson, Mary Larkin, Ann Michelle",24205,5.8,"Benmar Productions",1973,18398,"UK","English",2,"Horror/Thriller"
"The Departed",1,"Movie","Crime, Drama, Thriller",151,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",459,8.5,"Warner Bros.",2006,38830,"US","English",3,"Drama"
"The Devils",0,"Movie","Biography, Drama, History",111,"Vanessa Redgrave, Oliver Reed, Dudley Sutton",5249,7.8,"Russo Productions",1971,22024,"UK","English",4,"Horror/Thriller"
"The Double",0,"Movie","Comedy, Drama, Mystery",93,"Jesse Eisenberg, Mia Wasikowska, Wallace Shawn",9553,6.5,"Alcove Entertainment",2013,26713,"US","English",2,"Drama"
"The Dreamers",0,"Movie","Drama, Romance",115,"Michael Pitt, Eva Green, Louis Garrel",1363,7.2,"Recorded Picture Company (RPC)",2003,19493,"US","English",2,"Romance"
"The Driver",1,"Movie","Action, Crime, Thriller",91,"Ryan O'Neal, Bruce Dern, Isabelle Adjani",11683,7.2,"EMI Films",1978,9526,"US","English",3,"Action"
"The Enforcer",1,"Movie","Action, Crime, Thriller",96,"Clint Eastwood, Tyne Daly, Harry Guardino",9693,6.8,"Warner Bros.",1976,1820,"US","English",2,"Action"
"The Firm",0,"Movie","Comedy, Drama, Mystery",90,"Paul Anderson, Calum MacNab, Daniel Mays",16906,5.8,"Vertigo Films",2009,29346,"UK","English",2,"Drama"
"The Football Factory",0,"Movie","Crime, Drama, Sport",91,"Danny Dyer, Tamer Hassan, Roland Manookian",13742,6.8,"Vertigo Films",2004,5969,"UK","English",3,"Light"
"The French Connection",0,"Movie","Action, Crime, Drama",104,"Fernando Rey, Roy Scheider, Tony Lo Bianco",3986,7.7,"Twentieth Century Fox",1971,42237,"US","English",1,"Action"
"The Gauntlet",0,"Movie","Action, Crime, Thriller",109,"Sondra Locke, Pat Hingle, William Prince",5523,6.4,"Warner Bros.",1977,32661,"US","English",3,"Action"
"The Gay Divorcee",1,"Movie","Comedy, Musical, Romance",107,"Fred Astaire, Ginger Rogers, Alice Brady",25310,7.5,"RKO Radio Pictures",1934,114913,"US","English",3,"Light  Romance"
"The Girl Can't Help It",0,"Movie","Comedy, Music",99,"Tom Ewell, Jayne Mansfield, Edmond O'Brien",28758,6.8,"Twentieth Century Fox",1956,144633,"US","English",1,"Light"
"The Girl on a Motorcycle",0,"Movie","Drama, Romance",91,"Marianne Faithfull, Roger Mutton, Marius Goring",19501,5.3,"Adel Productions",1968,36104,"EU","English",3,"Romance"
"The Godfather",1,"Movie","Crime, Drama",175,"Marlon Brando, Al Pacino, James Caan",97,9.2,"Paramount Pictures",1972,30540,"US","English",4,"Drama"
"The Good Thief",0,"Movie","Action, Crime, Drama",109,"Nutsa Kukhianidze, Ouassini Embarek, Tchéky Karyo",22966,6.5,"Alliance Atlantis Communications",2002,72299,"UK","English",1,"Action"
"The Good, the Bad and the Ugly",0,"Movie","Western",161,"Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli",758,8.8,"Produzioni Europee Associate (PEA)",1966,2681,"IT","English",4,"Action"
"The Grand Budapest Hotel",1,"Movie","Adventure, Comedy, Crime",99,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric",508,8.1,"Fox Searchlight Pictures",2014,7417,"US","English",4,"Light"
"The Guard",0,"Movie","Comedy, Crime, Thriller",96,"Ronan Collins, Paraic Nialand, John Patrick Beirne",6222,7.3,"Reprisal Films",2011,3745,"IR","English",2,"Light"
"The Harder They Come",0,"Movie","Crime, Drama, Music",103,"Janet Bartley, Carl Bradshaw, Ras Daniel Hartman",27518,6.9,"International Films",1972,26057,"WO","Spanish",3,"Light"
"The Hill",1,"Movie","Drama, War",123,"Sean Connery, Harry Andrews, Ian Bannen",20636,7.9,"Metro-Goldwyn-Mayer (MGM)",1965,4323,"UK","English",3,"Drama"
"The Host",0,"Movie","Action, Drama, Horror",120,"Kang-ho Song, Byun Hee-Bong, Park Hae-il",4084,7.1,"Chungeorahm Film",2006,14209,"SK","Korean",3,"Horror/Thriller Action"
"The Housemaid",0,"Movie","Drama, Thriller",107,"Jeon Do-yeon, Jung-jae Lee, Yuh-Jung Youn",8455,6.4,"Sidus FNH-Benex Cinema Fund 1",2010,40492,"SK","Korean",2,"Drama"
"The Irishman",1,"Movie","Biography, Crime, Drama",209,"Al Pacino, Joe Pesci, Harvey Keitel",645,7.8,"Tribeca Productions",2019,10454,"US","English",4,"Drama"
"The Italian Job",1,"Movie","Action, Comedy, Crime",99,"Michael Caine, Noël Coward, Benny Hill",5302,7.3,"Oakhurst Productions",1969,237180,"UK","English",3,"Action"
"The King of Comedy",1,"Movie","Comedy, Crime, Drama",109,"Robert De Niro, Jerry Lewis, Diahnne Abbott",4378,7.8,"Embassy International Pictures",1982,4274,"US","English",2,"Drama"
"The Lighthouse",1,"Movie","Drama, Fantasy, Horror",109,"Robert Pattinson, Willem Dafoe, Valeriia Karaman",663,7.5,"A24",2019,262150,"US","English",3,"Horror/Thriller"
"The Long Goodbye",0,"Movie","Comedy, Crime, Drama",112,"Elliott Gould, Nina van Pallandt, Sterling Hayden",6652,7.6,"E-K-Corporation",1973,12217,"US","English",4,"Horror/Thriller"
"The Lord of the Rings: The Fellowship of the Ring",1,"Movie","Action, Adventure, Drama",178,"Alan Howard, Noel Appleby, Sean Astin",261,8.8,"New Line Cinema",2001,101506,"US","English",3,"Action"
"The Lord of the Rings: The Return of the King",1,"Movie","Action, Adventure, Drama",201,"Noel Appleby, Ali Astin, Sean Astin",514,8.9,"New Line Cinema",2003,91348,"US","English",2,"Action"
"The Lord of the Rings: The Two Towers",1,"Movie","Action, Adventure, Drama",179,"Bruce Allpress, Sean Astin, John Bach",756,8.7,"New Line Cinema",2002,13969,"US","English",3,"Action"
"The Maltese Falcon",1,"Movie","Crime, Film-Noir, Mystery",100,"Humphrey Bogart, Mary Astor, Gladys George",5871,8,"Warner Bros.",1941,116339,"US","English",2,"Horror/Thriller"
"The Man Who Knew Too Much",1,"Movie","Drama, Thriller",120,"James Stewart, Doris Day, Brenda de Banzie",7012,7.4,"Paramount Pictures",1956,21780,"US","English",3,"Light"
"The Man Who Wasn't There",0,"Movie","Crime, Drama",116,"Billy Bob Thornton, Frances McDormand, Michael Badalucco",6475,7.5,"Good Machine",2001,15496,"US","English",3,"Drama"
"The Newton Boys",1,"Movie","Action, Crime, Drama",122,"Matthew McConaughey, Skeet Ulrich, Ethan Hawke",13604,6.1,"Twentieth Century Fox",1998,22914,"US","English",3,"Action"
"The Night of the Hunter",0,"Movie","Crime, Drama, Film-Noir",92,"Shelley Winters, Lillian Gish, James Gleason",6462,8,"Paul Gregory Productions",1955,41285,"US","English",2,"Horror/Thriller"
"The Outlaw Josey Wales",0,"Movie","Western",135,"Chief Dan George, Sondra Locke, Bill McKinney",5678,7.8,"Warner Bros.",1976,21325,"US","English",1,"Action"
"The Passenger",1,"Movie","Drama, Thriller",126,"Jack Nicholson, Maria Schneider, Jenny Runacre",10774,7.6,"Metro-Goldwyn-Mayer (MGM)",1975,66311,"EU","English",3,"Horror/Thriller"
"The Prestige",1,"Movie","Drama, Mystery, Sci-Fi",130,"Hugh Jackman, Christian Bale, Michael Caine",405,8.5,"Touchstone Pictures",2006,124389,"US","English",3,"Drama"
"The Royal Tenenbaums",1,"Movie","Comedy, Drama",110,"Gene Hackman, Anjelica Huston, Ben Stiller",2071,7.6,"Touchstone Pictures",2001,84364,"US","English",2,"Drama"
"The Shining",1,"Movie","Drama, Horror",146,"Jack Nicholson, Shelley Duvall, Danny Lloyd",696,8.4,"Warner Bros.",1980,7950,"US","English",4,"Horror/Thriller"
"The Skin I Live In",1,"Movie","Drama, Horror, Thriller",120,"Antonio Banderas, Elena Anaya, Marisa Paredes",3482,7.6,"Blue Haze Entertainment",2011,3059,"SP","Spanish",3,"Horror/Thriller"
"The Tenant",1,"Movie","Drama, Thriller",126,"Isabelle Adjani, Melvyn Douglas, Jo Van Fleet",7838,7.7,"Marianne Productions",1976,111533,"EU","English",1,"Horror/Thriller"
"The Terminal",1,"Movie","Comedy, Drama, Romance",128,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci",1642,7.4,"Dreamworks Pictures",2004,35238,"US","English",2,"Romance"
"The War Room",0,"Movie","Documentary, History",96,NA,43136,7.3,"Cyclone Films",1993,16081,"US","English",4,"Drama"
"The Wicker Man",1,"Movie","Horror, Mystery, Thriller",88,"Edward Woodward, Christopher Lee, Diane Cilento",3227,7.5,"British Lion Film Corporation",1973,56654,"UK","English",4,"Horror/Thriller"
"The Wild Bunch",1,"Movie","Action, Adventure, Western",145,"William Holden, Ernest Borgnine, Robert Ryan",5187,7.9,"Warner Bros./Seven Arts",1969,26104,"US","English",1,"Action"
"The Wolf of Wall Street",1,"Movie","Biography, Crime, Drama",180,"Jonah Hill, Margot Robbie, Matthew McConaughey",257,8.2,"Red Granite Pictures",2013,100466,"US","English",3,"Drama"
"The World's End",0,"Movie","Comedy, Sci-Fi",109,"Thomas Law, Zachary Bailess, Jasper Levine",3163,7,"Universal Pictures",2013,20470,"UK","English",3,"Light"
"The Yakuza",1,"Movie","Action, Crime, Drama",112,"Robert Mitchum, Ken Takakura, Brian Keith",17460,7.2,"Warner Bros.",1974,17542,"US","English",2,"Action"
"The Young Girls of Rochefort",1,"Movie","Comedy, Drama, Musical",120,"Catherine Deneuve, George Chakiris, Françoise Dorléac",14553,7.7,"Parc Film",1967,9583,"FR","French",2,"Light"
"This Is England",0,"Movie","Crime, Drama",101,"Thomas Turgoose, Stephen Graham, Jo Hartley",3016,7.7,"Warp Films",2006,81681,"UK","English",4,"Drama"
"Three Billboards Outside Ebbing, Missouri",0,"Movie","Comedy, Crime, Drama",115,"Frances McDormand, Caleb Landry Jones, Kerry Condon",791,8.1,"Blueprint Pictures",2017,11391,"US","English",2,"Drama"
"Tie Me Up! Tie Me Down!",1,"Movie","Comedy, Crime, Drama",101,"Victoria Abril, Antonio Banderas, Loles León",7221,7,"El Deseo",1989,1012,"SP","Spanish",3,"Drama"
"Tinker Tailor Soldier Spy",1,"Movie","Drama, Mystery, Thriller",122,"Mark Strong, John Hurt, Zoltán Mucsi",2113,7.1,"StudioCanal",2011,13253,"UK","English",2,"Horror/Thriller"
"To Catch a Thief",1,"Movie","Mystery, Romance, Thriller",106,"Cary Grant, Grace Kelly, Jessie Royce Landis",2916,7.4,"Paramount Pictures",1955,2098,"US","English",4,"Romance"
"Tomboy",0,"Movie","Drama",82,"Zoé Héran, Malonn Lévana, Jeanne Disson",14370,7.4,"Hold Up Films",2011,5703,"FR","French",1,"Drama"
"Top Hat",0,"Movie","Comedy, Musical, Romance",101,"Ginger Rogers, Edward Everett Horton, Erik Rhodes",16310,7.7,"RKO Radio Pictures",1935,8521,"US","English",4,"Romance"
"Torso",0,"Movie","Horror, Mystery, Thriller",89,"Suzy Kendall, Tina Aumont, Luc Merenda",13399,6.5,"Compagnia Cinematografica Champion",1973,9662,"IT","Italian",2,"Horror/Thriller"
"Touch of Evil",1,"Movie","Crime, Drama, Film-Noir",95,"Charlton Heston, Janet Leigh, Joseph Calleia",6535,8,"Universal International Pictures (UI)",1958,25073,"US","English",3,"Horror/Thriller"
"Training Day",1,"Movie","Crime, Drama, Thriller",122,"Denzel Washington, Ethan Hawke, Scott Glenn",1006,7.7,"Warner Bros.",2001,32946,"US","English",2,"Drama"
"Trainspotting",1,"Movie","Drama",93,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",1074,8.1,"Channel Four Films",1996,27570,"UK","English",4,"Drama"
"Tropic Thunder",1,"Movie","Action, Comedy, War",107,"Jeff Kahn, Robert Downey Jr., Anthony Ruivivar",831,7,"Dreamworks Pictures",2008,29365,"US","English",3,"Action"
"Two Women",1,"Movie","Drama, War",101,"Sophia Loren, Jean-Paul Belmondo, Eleonora Brown",10589,7.8,"Compagnia Cinematografica Champion",1960,3449,"IT","Italian",2,"Drama"
"Tyrannosaur",0,"Movie","Drama",92,"Peter Mullan, Archie Lal, Jag Sanghera",9480,7.6,"Warp X",2011,7108,"UK","English",3,"Drama"
"Uncut Gems",0,"Movie","Crime, Drama, Thriller",135,"Mesfin Lamengo, Sun Zhi Hua-Hilton, Liang Wei-Hui-Duncan",757,7.4,"A24",2019,4011,"US","English",1,"Drama"
"Unforgiven",1,"Movie","Drama, Western",130,"Gene Hackman, Morgan Freeman, Richard Harris",1369,8.2,"Warner Bros.",1992,17652,"US","English",3,"Action"
"Unrelated",0,"Movie","Drama",100,"Kathryn Worth, Harry Kershaw, Emma Hiddleston",20221,6.8,"Raw Siena",2007,8700,"UK","English",1,"Light"
"Vertigo",1,"Movie","Mystery, Romance, Thriller",128,"James Stewart, Kim Novak, Barbara Bel Geddes",2257,8.3,"Alfred J. Hitchcock Productions",1958,18853,"US","English",4,"Romance"
"Videodrome",1,"Movie","Horror, Sci-Fi, Thriller",87,"James Woods, Sonja Smits, Debbie Harry",5814,7.2,"Filmplan International",1983,15870,"CA","English",4,"Horror/Thriller"
"Vivacious Lady",1,"Movie","Comedy, Romance",90,"Ginger Rogers, James Stewart, James Ellison",44538,7.2,"RKO Radio Pictures",1938,59320,"US","English",3,"Romance"
"Volver",0,"Movie","Comedy, Drama",121,"Penélope Cruz, Carmen Maura, Lola Dueñas",7504,7.6,"Canal+ España",2006,10847,"SP","Spanish",3,"Drama"
"Wake in Fright",0,"Movie","Drama, Thriller",109,"Donald Pleasence, Gary Bond, Chips Rafferty",10870,7.7,"NLT Productions",1971,104745,"AU","English",3,"Drama"
"Water Lilies",0,"Movie","Drama, Romance",85,"Pauline Acquart, Louise Blachère, Adèle Haenel",10760,6.7,"Balthazar Productions",2007,66190,"FR","French",2,"Romance"
"Wild for Kicks",1,"Movie","Drama",89,"David Farrar, Noëlle Adam, Christopher Lee",36746,6,"Willoughby Film Productions",1960,31838,"UK","English",3,"Light"
"Women on the Verge of a Nervous Breakdown",1,"Movie","Comedy, Drama",88,"Carmen Maura, Antonio Banderas, Julieta Serrano",7760,7.6,"Laurenfilm",1988,26765,"SP","Spanish",3,"Light"
"Yesterday, Today and Tomorrow",1,"Movie","Comedy, Romance",114,"Sophia Loren, Marcello Mastroianni, Aldo Giuffrè",11200,7.3,"Compagnia Cinematografica Champion",1963,66302,"IT","Italian",2,"Romance"
"You Were Never Really Here",0,"Movie","Crime, Drama",89,"Joaquin Phoenix, Dante Pereira-Olson, Larry Canady",2676,6.8,"Why Not Productions",2017,42591,"US","English",2,"Drama"
